[root@TESTBED-NVOD dath]# lsof -p 15336
COMMAND   PID USER   FD   TYPE     DEVICE SIZE/OFF    NODE NAME
CiADS   15336 root  cwd    DIR        8,2     4096 1588372 /castis/bin/CiADS
CiADS   15336 root  rtd    DIR        8,2     4096       2 /
CiADS   15336 root  txt    REG        8,2 28121069 1573478 /castis/bin/CiADS/CiADS_64_v2.5.7.3.QR2
CiADS   15336 root  mem    REG        8,2   157072 1054054 /lib64/ld-2.12.so
CiADS   15336 root  mem    REG        8,2  1926520 1054055 /lib64/libc-2.12.so
CiADS   15336 root  mem    REG        8,2   145936 1054056 /lib64/libpthread-2.12.so
CiADS   15336 root  mem    REG        8,2   599392 1054075 /lib64/libm-2.12.so
CiADS   15336 root  mem    REG        8,2    47168 1054057 /lib64/librt-2.12.so
CiADS   15336 root  mem    REG        8,2    93224 1054076 /lib64/libgcc_s-4.4.7-20120601.so.1
CiADS   15336 root  mem    REG        8,2   989840 2637530 /usr/lib64/libstdc++.so.6.0.13
CiADS   15336 root  mem    REG        8,2    18936 1048630 /lib64/libuuid.so.1.3.0
CiADS   15336 root  mem    REG        8,2    11408 2638574 /usr/lib64/libboost_system.so.5
CiADS   15336 root  mem    REG        8,2    83728 2638579 /usr/lib64/libboost_thread-mt.so.5
CiADS   15336 root  mem    REG        8,2    87584 2638576 /usr/lib64/libboost_filesystem.so.5
CiADS   15336 root  mem    REG        8,2  1164138 1573218 /castis/lib64/libCiMediaClusterFS_64_v1.0.3.QR3.el6.so
CiADS   15336 root  DEL    REG        0,4            32769 /SYSV43020266
CiADS   15336 root    0r   CHR        1,3      0t0    3881 /dev/null
CiADS   15336 root    1w   REG        8,2    12288 1588423 /castis/bin/CiADS/.CiADS.output
CiADS   15336 root    2w   REG        8,2    12288 1588423 /castis/bin/CiADS/.CiADS.output
CiADS   15336 root    3u  IPv4 2014891526      0t0     TCP *:18911 (LISTEN)
CiADS   15336 root    4u  IPv4 2014891525      0t0     UDP *:18504 
CiADS   15336 root    5w   REG        8,5   195546 7622383 /home/RAM_DISK/2_3/adstmp/2_3_6083749.mpg.adstmp
CiADS   15336 root    6u  IPv4 2014891723      0t0     TCP TESTBED-NVOD:50777->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root    7w   REG        8,5   130348 7604344 /home/RAM_DISK/155_1/adstmp/155_1_6067000.mpg.adstmp
CiADS   15336 root    8u  IPv4 2014891727      0t0     TCP TESTBED-NVOD:50778->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root    9u  IPv4 2014891761      0t0     TCP TESTBED-NVOD:50779->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   10w   REG        8,5   619153 7605012 /home/RAM_DISK/154_2/adstmp/154_2_5148612.mpg.adstmp
CiADS   15336 root   11w   REG        8,5   716733 7606968 /home/RAM_DISK/155_3/adstmp/155_3_6067000.mpg.adstmp
CiADS   15336 root   12u  IPv4 2014891766      0t0     TCP TESTBED-NVOD:50780->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   13w   REG        8,5   268700 7622985 /home/RAM_DISK/154_1/adstmp/154_1_5148612.mpg.adstmp
CiADS   15336 root   14u  IPv4 2014891811      0t0     TCP TESTBED-NVOD:50782->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   15w   REG        8,5    65182 7623079 /home/RAM_DISK/2_1/adstmp/2_1_6083749.mpg.adstmp
CiADS   15336 root   16w   REG        8,5   824193 7622767 /home/RAM_DISK/141_3/adstmp/141_3_1244267.mpg.adstmp
CiADS   15336 root   17u  IPv4 2014891815      0t0     TCP TESTBED-NVOD:50783->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   18w   REG        8,5   401311 7604818 /home/RAM_DISK/141_1/adstmp/141_1_1244267.mpg.adstmp
CiADS   15336 root   19u  IPv4 2014891819      0t0     TCP TESTBED-NVOD:50784->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   20w   REG        8,5   545387 7603684 /home/RAM_DISK/141_2/adstmp/141_2_1244267.mpg.adstmp
CiADS   15336 root   21u  IPv4 2014891823      0t0     TCP TESTBED-NVOD:50785->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   22w   REG        8,5   260696 7606266 /home/RAM_DISK/154_0/adstmp/154_0_5148612.mpg.adstmp
CiADS   15336 root   23w   REG        8,5   423683 7604657 /home/RAM_DISK/2_2/adstmp/2_2_6083749.mpg.adstmp
CiADS   15336 root   24w   REG        8,5   645144 7623012 /home/RAM_DISK/156_3/adstmp/156_3_1693049.mpg.adstmp
CiADS   15336 root   25u  IPv4 2014891831      0t0     TCP TESTBED-NVOD:50788->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   26w   REG        8,5    90842 7605057 /home/RAM_DISK/2_0/adstmp/2_0_6083749.mpg.adstmp
CiADS   15336 root   27w   REG        8,5   391044 7622950 /home/RAM_DISK/156_2/adstmp/156_2_1693049.mpg.adstmp
CiADS   15336 root   28u  IPv4 2014891837      0t0     TCP TESTBED-NVOD:50789->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   29w   REG        8,5    97761 7606580 /home/RAM_DISK/156_0/adstmp/156_0_1693049.mpg.adstmp
CiADS   15336 root   30u  IPv4 2014903070      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:41451 (ESTABLISHED)
CiADS   15336 root   31u  IPv4 2014891845      0t0     TCP TESTBED-NVOD:50792->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   32u  IPv4 2014903071      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:53781 (ESTABLISHED)
CiADS   15336 root   33u  IPv4 2014891849      0t0     TCP TESTBED-NVOD:50793->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   34w   REG        8,5   521392 7623094 /home/RAM_DISK/154_3/adstmp/154_3_5148612.mpg.adstmp
CiADS   15336 root   35u  IPv4 2014891853      0t0     TCP TESTBED-NVOD:50794->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   36u  IPv4 2014891898      0t0     TCP TESTBED-NVOD:50795->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   37w   REG        8,5    65174 7623111 /home/RAM_DISK/156_1/adstmp/156_1_1693049.mpg.adstmp
CiADS   15336 root   38u  IPv4 2014903072      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:53738 (ESTABLISHED)
CiADS   15336 root   39u  IPv4 2014891902      0t0     TCP TESTBED-NVOD:50796->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   40u  IPv4 2014903073      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:33388 (ESTABLISHED)
CiADS   15336 root   41u  IPv4 2014891906      0t0     TCP TESTBED-NVOD:50797->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   42u  IPv4 2014903074      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:39287 (ESTABLISHED)
CiADS   15336 root   43u  IPv4 2014891910      0t0     TCP TESTBED-NVOD:50798->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   44u  IPv4 2014891913      0t0     TCP TESTBED-NVOD:50799->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   45u  IPv4 2014903075      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:38240 (ESTABLISHED)
CiADS   15336 root   46u  IPv4 2014903076      0t0     TCP TESTBED-NVOD:18911->10.60.70.217:45705 (ESTABLISHED)
CiADS   15336 root   47u  IPv4 2014891918      0t0     TCP TESTBED-NVOD:50800->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   48w   REG        8,5    97761 7623112 /home/RAM_DISK/155_0/adstmp/155_0_6067000.mpg.adstmp
CiADS   15336 root   49u  IPv4 2014891922      0t0     TCP TESTBED-NVOD:50801->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   50u  IPv4 2014891925      0t0     TCP TESTBED-NVOD:50802->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   51w   REG        8,5    65174 7623114 /home/RAM_DISK/155_2/adstmp/155_2_6067000.mpg.adstmp
CiADS   15336 root   53u  IPv4 2014891930      0t0     TCP TESTBED-NVOD:50803->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   55u  IPv4 2014891934      0t0     TCP TESTBED-NVOD:50804->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   58u  IPv4 2014891940      0t0     TCP TESTBED-NVOD:50806->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   60u  IPv4 2014891944      0t0     TCP TESTBED-NVOD:50807->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   62u  IPv4 2014891948      0t0     TCP TESTBED-NVOD:50808->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   64u  IPv4 2014891952      0t0     TCP TESTBED-NVOD:50809->10.60.70.200:http (ESTABLISHED)
CiADS   15336 root   66u  IPv4 2014891957      0t0     TCP TESTBED-NVOD:50810->10.60.70.200:http (ESTABLISHED)
